Nom,Adresse,Code postal,Ville,Latitude,Longitude,EMail (pour annuaire),Téléphone professionnel (pour annuaire),Url,Page facebook  (pour annuaire),Domaine d'activité Principal (une seule activité)  (pour annuaire),Description de l'activité de l'entreprise (pour annuaire),Défi (pour annuaire),Bureau de change,
Biocoop - Le Quai des Halles,6 rue de Sébastopol,67000,Strasbourg,48.586201,7.743331,lequaideshalles@orange.fr,03 88 36 52 68,www.biocoop.fr/,https://www.facebook.com/BiocoopStrasbourg,2,Magasin de produits issus de l&#39;agriculture biologique,"Afin de mieux s'ancrer dans l'économie locale, il s'agit d'augmenter le référencement en produits locaux",1,
Amphora,23 rue du faubourg de Pierre,67000,Strasbourg,48.588002,7.745835,contact@amphora-artdevivre.fr,03 88 59 30 89,www.amphora-artdevivre.fr,,5,"Boutique, bar à soupe, jus bio, sauna-détente privatif, espace culturel, location de salle.\n ",Organiser un événement avec les professionnels du quartier pour mettre en place des synergies.,,
La Backerstub,2 place Clément,67000,Strasbourg,48.587159,7.743335,contact@labackerstub.fr,09 83 64 01 34,www.labackerstub.fr/,https://www.facebook.com/Labackerstub,2,"Boulangerie artisanale et salon de thé\nUne boulangerie 100% bio et artisanale qui privilégie le contact direct et vivant avec ses producteurs et ses clients. Une gamme innovante de pains au levain naturel à base de variétés anciennes, des viennoiseries pur beurre, une offre salée pour la pause déjeuner. Quelques produits sans gluten. Des ateliers, un brunch mensuel et des animations tout au long de l'année.",L'activité est encore en phase de gestation. Le défi consiste à la démarrer en mettant en pratique toutes les belles idées présentées.,1,
L'essentiel chez Raphaël,3 rue kurnagel,67200,Strasbourg,48.581496,7.71763,lessentielchezraphael@gmail.com,06 12 14 55 81,www.lessentiel-chez-raphael.bio,https://www.facebook.com/L.essentiel.chez.Raphael,16,"Food truck et traiteur V&eacute;g&eacute;talien Bio\nCuisine enti&egrave;rement faite maison, produits frais de saison et en majorit&eacute; locaux.\nBuffets/cocktails, banquets, ap&eacute;ritifs, ateliers de cuisine, &eacute;v&eacute;nements.\n&nbsp;",,,
4AS,4 Place Arnold,67000,Strasbourg,48.584945,7.7696,b.schwaller@4as-sas.com,06 15 75 73 33,,,18,Experts En Techniques Du Batiment,"Dans le but d'une meilleure transparence vis-à-vis es clients, il s'agit de mettre en place la traçabilité des produits proposés.",,
A Mi Chemin,87 Avenue des Vosges,67000,Strasbourg,48.591369,7.744289,laroche.mylene@free.fr,07 82 68 38 50,www.a-mi-chemin.eu/,https://www.facebook.com/amicheminft,16,Food truck Strasbourgeois,,,
Cyclorama,99 route du Polygone,67100,Strasbourg,48.565277,7.759893,cyclorama.strasbourg@gmail.com,06 16 56 22 62,www.cyclorama-strasbourg.eu,https://www.facebook.com/cyclorama.strasbourg?fref=ts,19,"Transport urbain de personnes en V&eacute;lo-Cal&egrave;che, V&eacute;lo-taxi, Rickshaw, Pedicab&hellip;",Il s'agit d'orienter l'activité de manière à tisser du lien ,,
Altschuh Philippe Chiropraxie,8 rue de Dettwiller,67200,Strasbourg,48.595554,7.725247,chirostras@gmail.com,09 86 26 29 89,www.chirostras.fr,,17,"Chiropraxie naturelle, manuelle, douce alliée à une grande technicité et des concepts novateurs.","Afin de développer le réseau des professionnels, il s'agit de réaliser cinq rencontres pour présenter le projet à d'autres professionnels et tenter de les intégrer au réseau.",,
Bretz'Selle,10 rue des bouchers,67000,Strasbourg,48.578687,7.751106,contact@bretzselle.org,09 51 29 87 59,www.bretzselle.org/,https://www.facebook.com/BretzSelle-259650114048517/timeline/,15,"Mise à disposition d'ateliers vélo équipés, apprentissage de la mécanique. ",,,
Ayurveda Gilles Déom,"25 boulevard du Président Wilson, 3e étage (ascenseur)",67000,STRASBOURG,48.589519,7.740231,gilles@deommm.com,06 59 57 20 98,www.deommm.com/,facebook.com/ayurveda.grace,17,"Thérapeute en Médecine Indienne. Consultations et soins. Outils: diagnostic par la prise de pouls ayurvédique, alimentation, massages, magnétisme, yoga, respiration, méditation, purification des corps et des lieux",Fabriquer son huile de massage; faire adhérer des nouveaux pros dans le réseau,,
Le plombier à vélo,7 rue de la vignette,67000,Strasbourg,48.582485,7.742434,contact@plombieravelo.com,07 82 72 38 84,www.plombieravelo.com/,https://www.facebook.com/leplombieravelo?fref=ts,9,Installation et d&eacute;pannage de sanitaires et chaudi&egrave;res. D&eacute;placements &agrave; v&eacute;lo.&nbsp;,"Dans un élan de solidarité avec le Stück, et afin de créer du lien entre ses usagers, il s'agit d'animer un atelier relatif à son c?ur de métier auprès des usagers du Stück.",,
La Maison de la Sagesse,15 rue Thiergarten,67000,Strasbourg,48.585231,7.737683,maisondelasagesse@yahoo.fr,06 50 67 75 02,,https://www.facebook.com/Librairie-Maison-de-La-Sagesse-325989680088/timeline/,6,Librairie de culture et spiritualit&eacute; musulmanes,"Dans un élan de solidarité avec le Stück, il s'agit de lui mettre à disposition des locaux et d'organiser un évènement afin de toucher de nouveaux publics",,
L'aventure moderne,6a quai Rellermann,67000,Strasbourg,48.585943,7.745107,pasquereau.nicolas@gmail.com,06 88 60 16 09,aventuremoderne.tf/,https://www.facebook.com/aventuremoderne/timeline,20,Designer graphique ind&eacute;pendant,L'activité est encore en phase de gestation. Le défi consiste à la démarrer en mettant en pratique toutes les belles idées présentées.,,
Pur Etc - Le PUR'Truck,19 rue du pigeon,67200,Strasbourg,48.596986,7.717375,nicolas.v@pur-etc.fr,06 22 00 13 52,www.pur-etc.fr/foodtruck-67/,,16,"Un fast Good !&nbsp;A tout moment de la journ&eacute;e, ils proposent des produits cuisin&eacute;s maison autour de fruits et l&eacute;gumes de saison, et font de la qualit&eacute; et de la proximit&eacute; des mati&egrave;res premi&egrave;res leur priorit&eacute; !","Afin de réduire le volume de déchets engendré par l'activité, il s'agit de remplacer les couverts jetables par des couverts lavables.",,
Velicious,43 rue Geiler,67000,Strasbourg,48.586079,7.770807,contact@velicious.fr,09 72 53 07 35,www.velicious.fr/,https://www.facebook.com/velicious.cafe/timeline,16,Salon de Café et Restaurant 100% végétal. Cuisine Végétalienne et Végétarienne.,"Afin de réduire l'impact des déchets engendrés par l'activité, il s'agit d'organiser la valorisation des déchets organiques de la cuisine.",,
Amarantho,1 place de la porte blanche,67000,Strasbourg,48.58009,7.731705,hello@amarantho.fr,07 83 22 15 87,www.amarantho.fr/,https://www.facebook.com/agence.amarantho,20,"Agence de communication collaborative, durable et solidaire.",L'activité est encore en phase de gestation. Le défi consiste à la démarrer en mettant en pratique toutes les belles idées présentées.,,
Top print,1 rue déserte,67000,Strasbourg,48.583646,7.737275,topprint@wanadoo.fr,03 88 23 00 01,www.topprint.strasbourg.free.fr/,,14,Service de photocopie et reprographie.,"Dans le but de créer du lien avec les enfants et de participer au développement de leur créativité, il s'agit de proposer un atelier de création de badges dans une école du quartier.",,
Elovio (Pur etc),15 place Saint-Etienne,67000,Strasbourg,48.583078,7.754823,contact@pur-etc.fr,09 81 02 33 37,www.pur-etc.fr/strasbourg/#tab-1,https://www.facebook.com/puretc/info?tab=page_info,16,"PUR etc : un fast Good ! A tout moment de la journée, nous vous proposons des produits cuisinés maison autour de fruits et légumes de saison, et faisons de la qualité et la proximité de nos matières premières notre priorité !",,,
Brasserie La Mercière,17 rue Principale,67310,COSSWILLER,48.623776,7.700657,brasserie@la-merciere.fr,06 76 51 77 87,www.la-merciere.fr,https://www.facebook.com/Brasserie-La-Merci%C3%A8re-270701163075517/timeline/,1,Brasserie artisanale\n\n ,"Dans un élan de solidarité avec Le Stück, il s'agit d'organiser un apéro visant à augmenter la visibilité de l'association et de ses valeurs.",,
Hôtel Graffalgar,"17, rue Déserte",67000,STRASBOURG,48.583379,7.735773,direction@graffalgar.com,03 88 24 98 40,www.graffalgar-hotel-strasbourg.fr/,https://www.facebook.com/graffalgar/?fref=ts,10,Hôtel novateur qui vous fera découvrir un Strasbourg alternatif!,"Afin de réduire l'impact des déchets engendrés par l'activité et sa clientèle, il s'agit de mettre en place des poubelles de tri sélectif dans les chambres et d'organiser la valorisation des déchets organiques de la cuisine.",,
Cécile,67100,Strasbourg,48.563817,7.755171,emelinehubert@gmail.com,06 84 48 92 36,www.emelinehubert.com/,https://www.facebook.com/Soimaime.EmelineHubert.Psychologiepositive?fref=ts,17,"Psychologie positive, mieux-&ecirc;tre et d&eacute;veloppement personnel","Afin de développer le réseau des professionnels, il s'agit de réaliser cinq rencontres pour présenter le projet à d'autres professionnels et essayer de les intégrer au réseau.",,
Kitsch'n bar,8 Quai Charles Altorffer,67000,Strasbourg,48.582373,7.737981,kitschnbar@hotmail.fr,03 88 36 31 20,,https://www.facebook.com/Kitschn-Bar-109690228469/timeline/,16,"Ambiance r&eacute;tro et d&eacute;contract&eacute;e. Soir&eacute;es, grande terrasse et un baby-foot au sous-sol.","Dans un élan de solidarité avec Le Stück, il s'agit d'organiser un événement visant à augmenter la visibilité de l'association et de ses valeurs. Explorer également la possibilité d'installer un rideau au niveau de la porte pour isoler l'intérieur.",,
Cabinet de Sage Femme Caroline Schoch,49 rue de la Vallée,67140,Barr,48.40514,7.433023,carolineschoch@yahoo.fr,06 22 35 21 89,,,17,Cabinet Sage Femme situ&eacute; &agrave; Barr!,"Afin de rééquilibrer vie professionnelle / vie privée, il s'agit de diminuer le temps de travail à l'hôpital pour atteindre 35h de travail cumulé hôpital-cabinet libéral",,
OZETIK,2 rue de la division Leclerc,67000,Strasbourg,48.601986,7.783522,ozetik@gmail.com,06 28 27 90 21,ozetik.com/,https://www.facebook.com/ozetik/timeline,7,Produits alternatifs écologiques et éthiques pour la vie quotidienne,"Afin de toucher une autre population, il s'agit d'effectuer un ou plusieurs ateliers dans 2 à 3 structures visant des publics défavorisés (Centres socio-culturels / Associations des habitants)",,
Ferme Saint Blaise,Route de Meistratzheim,67210,Valff,48.427853	,7.535766,ferme.stblaise@wanadoo.fr,03 88 08 71 73,www.alsacebio.com/producteurs_detail.php?art=5,https://www.facebook.com/FermeSaintBlaise/info?tab=overview,1,"Légumes, pommes de terre et céréales en agriculture biodynamique depuis 1996.","Il s'agit d'étudier le prix de revient de 6 produits de la ferme et de partager les résultats avec les autres agriculteurs, pour une meilleure prise de conscience du juste prix ",,
Vins Gérard Goepp,21 rue de la Montagne,67140,Heiligenstein,48.42103,7.448144,goepp@orange.fr,03 88 08 95 75,www.tourisme-alsace.com/fr/213007126-Vins-GOEPP-Gerard.html,,1,Production et vente directe de vins.,"Afin de parfaire la connaissance des impacts de la production intensive, il s'agit de participer à une formation sur des pratiques de production écologique",,
Ferme des Hutten,100 route romaine,67220,Saint-Pierre-Bois,48.313668,7.358508,vlauler@yahoo.fr,06 84 45 12 62,www.mafermebio.net/producteurs/fermehutten,,1,"Ferme Bio / Vente directe / AMAP, vaches issues des races Charolaise et Salers. ","Afin de rééquilibrer vie professionnelle / vie privée, il s'agit de s'organiser 1 semaine de congé avec sa compagne",,
Brasserie Bendorf,114 rue Jean Jaures,67100,Neudorf,48.566518,7.775391,brasserie.bendorf@gmail.com,06 70 55 72 08,brasserie-bendorf.fr/home.html,https://www.facebook.com/pages/Bendorf/321939997912528?sk=info&tab=page_info,1,Une micro brasserie strasbourgeoise!,"Afin de diversifier l'offre et de toucher un nouveau public, expérimenter des recettes de bière à base de houblon certifié bio (américains et/ou alsaciens). Organiser un test à l'aveugle à destination de membres de l'association.",,
Les vins biodynamiques,19 rue des Ormes,67000,Strasbourg,48.596318,7.719488,lvbiodynamiques@gmail.com,06 74 01 03 20,,https://www.facebook.com/Les-Vins-Bio-Dynamiques-Strasbourg-541516899270827/timeline/,2,Vins bio dynamiques dans le secteur de Strasbourg!,"Afin d'ancrer son activité localement, il s'agit d'intégrer au moins un domaine alsacien en biodynamie dans son catalogue.",,
"N. Taiana, ostéopathe",8 place de la gare,67000,Strasbourg,48.583989,7.736006,contact@osteopathe-taiana.com,03 88 23 24 33,www.osteopathe-taiana.com/osteopathe-bebe-strasbourg-6.html,,17,L&#39;ost&eacute;opathie peut soulager diff&eacute;rentes douleurs et probl&egrave;mes fonctionnels. Nicolas Taiana vous re&ccedil;oit sur rendez-vous pour une s&eacute;ance d&rsquo;ost&eacute;opathie&nbsp; dans son cabinet ou &agrave; domicile.,"Afin de poursuivre la démarche globale de réduction de l'impact de son activité, il s'agit de se renseigner sur les impacts de sa banque et d'étudier s'il est possible de trouver mieux. Si c'est possible, changer de partenaire financier.",,
L'Atelier Culturel,10 rue du Hohwald\nchez Elektramusic,67000,Strasbourg,48.601986,7.783522,latelierculturel@gmail.com,07 64 07 42 24,atelierculturel.com/,https://www.facebook.com/culturelatelier?ref=ts&fref=ts,6,Fabrique de culture et de citoyennet&eacute;.&nbsp;Association pour un tiers-lieu culturel exp&eacute;rimental,"Avec pour objectif la sensibilisation à l'extraction et l'élimination des composants des appareils électroniques, il s'agit de mettre en place des formations sur les nano ordinateurs",,
Le Divanoo,25 Route de Bischwiller,67800,Bischheim,48.613221,7.751628,contact@divanoo.eu,03 88 81 29 48,www.divanoo.eu/,https://www.facebook.com/Le-divanoo-212477995447731/timeline/,16,Lieu convivial et belles rencontres autour de la cuisine et langues du monde.,"Afin de réduire l'impact des déchets engendrés par l'activité, il s'agit d'organiser la valorisation des déchets organiques et d'organiser une réunion collective avec la maison du compost en vue de créer une dynamique de quartier",1,
Professeur de chant Thérèse Berger,15 rue de la costelle,67420,SAULXURES,48.395030,7.124265,therese.berger46@gmail.com,06 30 57 87 92,www.laclefduchant.net/,,13,"Mezzo-soprano et professeur de chant; enseigne  dans les écoles de musique de Barr et Entzheim, ainsi qu'en cours privé à son domicile à Boersch.","Afin de s'affranchir du monopole de grands développeurs de systèmes d'exploitation et de logiciels, il s'agit d'utiliser un système d'exploitation et des logiciels libres, permettant les mêmes fonctionnalités.",,
L'intenable,41 rue du général Gouraud,67210,Obernai,48.462228,7.484135,bar.lintenable@gmail.com,03 88 33 29 90,,https://www.facebook.com/lintenable?fref=ts,16,Un bar convivial o&ugrave; r&egrave;gne la bonne humeur !&nbsp;,"Il s'agit de trouver une boulangerie locale et si possible bio pour se fournir en pain, afin de privilégier les circuits courts et locaux.",,
Notre Idée Fixe,10 place des 24 Comptes,67120,Molsheim,48.544431,7.49224,notre.ideefixe@facebook.com,03 90 23 76 99,,https://www.facebook.com/notre.ideefixe,16,Bar avec une impressionnante carte de whiskies et de bi&egrave;res. Animations en soir&eacute;es.,"Afin de réduire l'impact de l'activité sur la qualité de l'eau, il s'agit de nettoyer le local avec des produits eco-labellisés et/ou faits maison.",,
Pascale Giraud - Psychologue,6 Place d'Austerlitz,67000,Strasbourg,48.578214,7.754274,contact@pascalegiraud.com,03 88 36 42 21,www.pascalegiraud.com/,,17,Psychologue clinicienne dipl&ocirc;m&eacute;e de la facult&eacute; de Strasbourg (orientation psychanalytique). La Gestalt-th&eacute;rapie est son approche principale.,"Afin de toucher une autre population, il s'agit de travailler en partenariat avec une association de quartier pour lui faire profiter de ses compétences.",,
Pur Etc - St Etienne,15 Place Saint Etienne,67000,Strasbourg,48.583078,7.754823,,09 81 02 33 37,www.pur-etc.fr,https://www.facebook.com/puretc/info?tab=page_info,16,"Un fast Good !&nbsp;A tout moment de la journ&eacute;e, ils proposent des produits cuisin&eacute;s maison autour de fruits et l&eacute;gumes de saison, et font de la qualit&eacute; et de la proximit&eacute; des mati&egrave;res premi&egrave;res leur priorit&eacute; !","Afin de réduire le volume de déchets engendré par l'activité, il s'agit de remplacer les couverts jetables par des couverts lavables.",,
Pur Etc - Grand Rue,"122, Grand Rue",67000,Strasbourg,48.581236,7.744909,contact@pur-etc.fr,09 83 78 38 79,www.pur-etc.fr,https://www.facebook.com/puretc/info?tab=page_info,16,"Un fast Good ! A tout moment de la journ&eacute;e, ils proposent des produits cuisin&eacute;s maison autour de fruits et l&eacute;gumes de saison, et font de la qualit&eacute; et de la proximit&eacute; des mati&egrave;res premi&egrave;res leur priorit&eacute; !","Afin de réduire le volume de déchets engendré par l'activité, il s'agit de remplacer les couverts jetables par des couverts lavables.",,
Pur Etc - Les Halles,Centre Commercial des Halles (devant les Galeries Gourmandes),67000,Strasbourg,48.5873147,7.742450899999994,contact@pur-etc.fr,09 81 09 10 40,www.pur-etc.fr,https://www.facebook.com/puretc/info?tab=page_info,16,"Un fast Good !&nbsp;A tout moment de la journ&eacute;e, ils proposent des produits cuisin&eacute;s maison autour de fruits et l&eacute;gumes de saison, et font de la qualit&eacute; et de la proximit&eacute; des mati&egrave;res premi&egrave;res leur priorit&eacute; !","Afin de réduire le volume de déchets engendré par l'activité, il s'agit de remplacer les couverts jetables par des couverts lavables.",,
Les Jardins de la Montagne Verte,5 avenue du cimetière,67200,STRASBOURG,48.579225,7.722292,a.hellemans@association-jmv.org,03 88 29 36 33,www.jardins-montagne-verte.com,Les jardins de la montagne verte,1,chantier d'insertion professionnelle par la production de légumes biologiques,réaliser 50 % de la recette mensuelle en stück d'ici fin 2018,,
Du pain et des gâteaux,"17, rue Geiler",67000,Strasbourg,48.58702,7.767711,,03 88 60 01 89,,,2,"Boulangerie de quartier, ind&eacute;pendante, avec des produits faits maison.",Choisir des produits d'entretien écologiques et reduire l'utilisation des essuis-mains à usage unique,,
EARL A et A Durrmann,"11, rue des Forgerons",67140,Andlau,48.385839,7.415861,agroecologievin@free.fr	 ,03 88 08 26 42,www.durrmann.fr,,1,Production de vins biologiques,"Afin de réduire l'impact de la production sur l'environnement, il s'agit de mettre en place une récupération des bouteilles auprès des particuliers.",,
Labo 1000,"4, rue de la Bonde",67300,Schiltigheim,48.605243,7.752327,labo.1000@wanadoo.fr,03 88 81 10 24,www.labo1000.com,,3,Photographe,"Afin de participer au développement du Stück, il s'agit de mettre en place un bureau de change.",,
Concept fibres et formes,17 rue sainte madeleine,67000,Strasbourg,48.579965,7.75365,concept.fibres.formes@gmail.com,09 51 32 64 01,www.vetementbio.com/,https://www.facebook.com/ConceptFibresFormes,8,Vente de v&ecirc;tements certifi&eacute;s bio et &eacute;quitable.,"Dans le but d'une meilleure transparence vis-à-vis es clients, il s'agit de mettre en place la traçabilité des produits proposés.",,
Ilot de la Meinau,36 Route de la Fédération,67100,Strasbourg,48.562398,7.745579,contact@lilotdelameinau.fr,06 11 21 27 74,www.lilotdelameinau.fr,,1,Agriculture raisonn&eacute;e,"Afin de réduire l'impact sur l'environnement, il s'agit de supprimer l'usage des sacs en plastiques.",1,
La P'tite Graine,4 avenue de la gare,67560,Rosheim,48.497786,7.479643,,03 88 50 44 70,,,2,"Magasin bio : alimentation, soin-hygiène, lectures",Mettre en place des frigos avec porte et communiquer au réseau du stück les solutions possibles et les gains en énergie,1,
Petite Fleur Sauvage,65 route de Bischwiller,67800,Bischheim,48.613221	,7.751628,contact@petitefleursauvage.com,06 28 32 29 58 ,petitefleursauvage.com,www.facebook.com/petitefleursauvage,8,"V&ecirc;tements confortables, tissu bio, atelier de recyclage, patronage, mode locale",Organiser une journée de vide-dressing en utilisant le stück comme monnaie d'échange,,
Herrmann - Les Jardins Gourmands,"9, rue des vergers",67270,Duntzenheim,48.710221,7.533602,contact@fruits-herrmann.fr,03 88 70 57 10,www.fruits-herrmann.fr,https://www.facebook.com/La-ferme-Herrmann-Les-jardins-gourmands-418640164982157/?fref=ts,1,"Fruits et l&eacute;gumes issus de l&#39;agriculture biologique, locale et raisonnable !",Explorer les solutions pour améliorer le traitement des déchets bois et carton.,,
Cercle de l'Aviron de Strasbourg,Ile Weiler / Quai Jean-Pierre Mayno,67000,Strasbourg,48.573054,7.736067,club@cercleavironstrasbourg.eu,06 58 60 31 75,www.cercleavironstrasbourg.eu/,,13,"Aviron découverte, loisir, stages, randonnées, séances de fitness.",Installer des toilettes sèches sur l'ile,,
Librairie Kléber,1 rue des Francs Bourgeois,67000,Strasbourg,48.582807,7.745598,,03 88 15 78 88,www.librairie-kleber.com/,https://www.facebook.com/Librairie-Kl%C3%A9ber-Salle-Blanche-348222038542101/?ref=ts&fref=ts,6,"Large choix de livres, conférences et rencontres avec écrivains et auteurs",Devenir un point de distribution AMAP,1,
Défi Ecologique,16 rue de Verdun,67600,Selestat,48.583803,7.746569,julien@defi-ecologique.com,06 71 10 97 33,www.defi-ecologique.com/,https://www.facebook.com/DEFI-Ecologique-1379441148983526/?fref=ts,18,"Aménagements «biodiversité» (conseil et intervention), diagnostics, signalétique, contrôle",Mettre en place des journées incompressibles et travailler avec Cooproduction pour rendre possible le paiement en stück,,
Caroline Gauton Shiatsu,12 rue du Faubourg de Pierre,67000,Strasbourg,48.587569,7.746343,carolinegauton.shiatsu@gmail.com,06 24 70 11 33,www.shiatsu-strasbourg-gauton.com/,https://www.facebook.com/ShiatsuTherapeutiqueStrasbourg,5,"Praticienne agr&eacute;e France Shiatsu. Cabinet de Shiatsu situ&eacute; &agrave; Strasbourg, et de mani&egrave;re occasionnelle sur rendez-vous &agrave; Epinal.",Créer un goupe local de professionnels du stuck sur le quartier 'tribunal-halles,,
Retour aux sources,"5, rue Boudhors",67000,Strasbourg,48.580058,7.736546,alain.vadot@orange.fr,06 14 09 05 09,,,9,G&eacute;obiologie et sant&eacute; de l&#39;habitat,Convaincre 5 professionnels de rejoindre le réseau,,
La Maison du Compost,4 rue de Dachstein,67200,Strasbourg,48.565092,7.707369,lamaisonducompost@gmail.com,,lamaisonducompost.fr/,https://www.facebook.com/lamaisonducompost/,4,Accompagnement dans la  pratique du compostage individuel ou collectif,Rencontrer des professionnels du stück pour les aider à installer un compost,,
Pascal Léval - Naturopathe,2 rue de la Laine,67160,WISSEMBOURG,49.037911,7.946789,,03 88 72 18 20,www.pascal-leval.fr,,5,"Naturopathie, Bioélectronique de Vincent, Bol d'air Jacquier",Aider le Stück à s'implanter dans le Nord de l'Alsace,,
